Timestamp,EEG.F7,EEG.F8,dummy
1733043480.971632,17.453703,-34.101154,0
1733043480.979445,9.239326,-39.190132,0
1733043480.987258,-9.725298,-51.446327,0
1733043480.995071,-15.863265,-65.227188,0
1733043481.002884,-3.552017,-64.649651,0
1733043481.010697,1.574612,-59.461926,0
1733043481.01851,-7.136194,-61.451694,0
1733043481.026323,-4.567519,-57.291782,0
1733043481.034136,6.707818,-50.57449,0
1733043481.041949,11.311879,-52.060837,0
1733043481.049762,11.812875,-51.496471,0
1733043481.057575,3.091831,-55.543434,0
1733043481.065388,-12.280492,-66.758659,0
1733043481.073201,-12.268211,-65.66729,0
1733043481.081014,-4.571327,-61.503159,0
1733043481.088827,-10.714448,-64.515503,0
1733043481.09664,-16.339119,-56.766369,0
1733043481.104453,-11.71201,-54.148064,0
1733043481.112266,-9.13876,-63.827763,0
1733043481.12008,1.116533,-50.443935,0
1733043481.127893,12.386186,-32.462723,0
1733043481.135706,2.639953,-46.774876,0
1733043481.143519,-1.973456,-54.412716,0
1733043481.151332,13.910056,-36.939842,0
1733043481.159145,11.846915,-37.415211,0
1733043481.166958,-7.632624,-54.283947,0
1733043481.174771,-15.309607,-58.328125,0
1733043481.182584,-15.806605,-55.70826,0
1733043481.190397,-12.204644,-49.504856,0
1733043481.19821,-4.507824,-40.74612,0
1733043481.206023,-5.527932,-40.193069,0
1733043481.213836,-2.448558,-38.103645,0
1733043481.221649,11.386198,-31.40554,0
1733043481.229462,10.350197,-34.447983,0
1733043481.237275,0.606,-36.975071,0
1733043481.245088,4.703856,-30.790405,0
1733043481.252901,5.21146,-39.981152,0
1733043481.260714,-8.113751,-54.798096,0
1733043481.268528,-7.59333,-42.44791,0
1733043481.276341,5.221955,-21.913157,0
1733043481.284154,3.679811,-28.038935,0
1733043481.291967,-7.082331,-41.330898,0
1733043481.29978,-6.050633,-38.215721,0
1733043481.307593,0.10311,-28.443657,0
1733043481.315406,3.68916,-26.87829,0
1733043481.323219,7.271625,-34.02372,0
1733043481.331032,4.702815,-42.698929,0
1733043481.338845,-3.498811,-46.754688,0
1733043481.346658,-5.544543,-50.806396,0
1733043481.354471,-7.075922,-57.927898,0
1733043481.362284,-12.191922,-57.869968,0
1733043481.370097,-9.105885,-47.053638,0
1733043481.37791,-4.486009,-45.469662,0
1733043481.385723,-12.678446,-56.182655,0
1733043481.393536,-14.714998,-57.663395,0
1733043481.401349,0.15664,-44.285732,0
1733043481.409162,7.841098,-36.044521,0
1733043481.416976,0.66095,-42.668476,0
1733043481.424789,-11.635096,-59.531963,0
1733043481.432602,-24.94346,-68.69397,0
1733043481.440415,-18.258518,-56.329891,0
1733043481.448228,11.473587,-39.367409,0
1733043481.456041,15.560575,-43.426502,0
1733043481.463854,-13.656524,-52.604614,0
1733043481.471667,-19.79056,-45.89201,0
1733043481.47948,4.307693,-38.161503,0
1733043481.487293,10.963385,-41.709492,0
1733043481.495106,-0.318348,-43.717014,0
1733043481.502919,3.780432,-39.062531,0
1733043481.510732,17.608959,-36.974236,0
1733043481.518545,8.369812,-45.134186,0
1733043481.526358,-15.204712,-54.822895,0
1733043481.534171,-10.578738,-44.521919,0
1733043481.541984,17.608765,-21.423552,0
1733043481.549797,15.541924,-17.815973,0
1733043481.55761,-9.576694,-30.60585,0
1733043481.565424,-4.956348,-31.599859,0
1733043481.573237,20.663992,-18.760567,0
1733043481.58105,30.377174,-10.544884,0
1733043481.588863,27.272951,-17.706646,0
1733043481.596676,18.536448,-33.57048,0
1733043481.604489,7.247142,-35.07383,0
1733043481.612302,9.801434,-19.157219,0
1733043481.620115,10.816247,-17.601139,0
1733043481.627928,-12.248415,-45.248154,0
1733043481.635741,-34.265396,-73.892136,0
1733043481.643554,-27.571133,-62.547474,0
1733043481.651367,-2.952792,-29.697235,0
1733043481.65918,9.345546,-14.298306,0
1733043481.666993,-0.397646,-38.874779,0
1733043481.674806,-5.008018,-51.131287,0
1733043481.682619,4.730836,-42.883232,0
1733043481.690432,-3.470818,-51.54958,0
1733043481.698245,-22.422731,-67.891876,0
1733043481.706058,-22.400309,-66.287064,0
1733043481.713872,-18.279448,-59.048466,0
1733043481.721685,-18.261168,-51.817112,0
1733043481.729498,-11.070599,-43.568371,0
1733043481.737311,-14.133374,-46.598648,0
1733043481.745124,-20.77924,-47.576664,0
1733043481.752937,-1.803077,-39.332165,0
1733043481.76075,13.05565,-33.145142,0
1733043481.768563,4.845671,-27.988918,0
1733043481.776376,-0.79456,-30.522469,0
1733043481.784189,-7.453765,-51.496563,0
1733043481.792002,-21.27862,-63.228142,0
1733043481.799815,-23.818878,-57.01722,0
1733043481.807628,-24.819675,-66.694054,0
1733043481.815441,-27.356394,-75.848892,0
1733043481.823254,-15.033653,-59.3792,0
1733043481.831067,-5.284773,-49.585976,0
1733043481.83888,-8.353334,-52.610233,0
1733043481.846693,-2.197289,-38.213009,0
1733043481.854506,10.100293,-28.44095,0
1733043481.86232,15.213269,-42.757126,0
1733043481.870133,14.685748,-46.812828,0
1733043481.877946,8.523371,-37.544476,0
1733043481.885759,-2.755922,-44.166931,0
1733043481.893572,-11.462397,-60.004303,0
1733043481.901385,-10.938627,-58.407375,0
1733043481.909198,0.855389,-43.492046,0
1733043481.917011,3.92838,-38.325478,0
1733043481.924824,-10.420164,-52.119461,0
1733043481.932637,-7.335898,-57.190418,0
1733043481.94045,16.749899,-41.763996,0
1733043481.948263,19.294687,-40.18531,0
1733043481.956076,11.590778,-51.9282,0
1733043481.963889,19.263803,-42.142426,0
1733043481.971702,16.170692,-32.878746,0
1733043481.979515,0.272983,-48.727406,0
1733043481.987328,0.785018,-57.900215,0
1733043481.995141,5.395002,-53.743855,0
1733043482.002954,5.389607,-53.177803,0
1733043482.010768,12.556525,-46.976933,0
1733043482.018581,9.98243,-46.417648,0
1733043482.026394,-2.322937,-64.302002,0
1733043482.034207,3.827079,-64.750008,0
1733043482.04202,11.507867,-50.340641,0
1733043482.049833,0.737898,-59.511837,0
1733043482.057646,-2.336687,-67.13694,0
1733043482.065459,15.084112,-44.015957,0
