Timestamp,EEG.F7,EEG.F8,dummy
1732963415.34028,35.631592,-27.657944,0
1732963415.348093,42.255959,-18.408747,0
1732963415.355906,37.090626,-21.464184,0
1732963415.363719,29.368921,-33.225796,0
1732963415.371532,25.753399,-40.877186,0
1732963415.379345,24.190722,-44.934772,0
1732963415.387158,24.678839,-44.889835,0
1732963415.394971,25.166468,-39.20956,0
1732963415.402784,26.165916,-35.584198,0
1732963415.410597,26.65206,-37.085537,0
1732963415.41841,29.186945,-32.949989,0
1732963415.426223,37.354683,-20.621656,0
1732963415.434036,46.026558,-11.379496,0
1732963415.441849,42.394379,-21.101961,0
1732963415.449662,35.179676,-36.450092,0
1732963415.457475,38.218342,-35.901333,0
1732963415.465288,45.352432,-29.205431,0
1732963415.473101,48.89323,-32.250072,0
1732963415.480914,44.745876,-40.414745,0
1732963415.488727,31.893438,-44.9851,0
1732963415.49654,27.250776,-29.570885,0
1732963415.504353,40.543526,3.246379,0
1732963415.512167,46.138367,21.173903,0
1732963415.51998,37.382999,24.226574,0
1732963415.527793,36.320999,42.133118,0
1732963415.535606,42.944679,53.361752,0
1732963415.543419,42.901733,44.086853,0
1732963415.551232,49.518833,53.776611,0
1732963415.559045,67.912392,76.77668,0
1732963415.566858,80.139862,78.749138,0
1732963415.574671,81.596649,76.108849,0
1732963415.582484,85.61351,78.594276,0
1732963415.590297,89.626358,73.904915,0
1732963415.59811,75.192116,72.806396,0
1732963415.605923,46.940002,71.708969,0
1732963415.613736,37.671524,55.243416,0
1732963415.621549,43.269238,39.306637,0
1732963415.629362,36.565968,30.558098,0
1732963415.637175,26.795555,20.281385,0
1732963415.644988,27.793375,21.285719,0
1732963415.652801,31.864042,27.924435,0
1732963415.660614,34.393719,19.187279,0
1732963415.668427,31.285477,6.360399,0
1732963415.67624,22.032654,3.280193,0
1732963415.684053,26.621389,11.473836,0
1732963415.691866,37.86554,22.220823,0
1732963415.699679,31.167671,12.977064,0
1732963415.707492,22.939581,-1.892836,0
1732963415.715305,31.113565,12.453672,0
1732963415.723118,36.717834,27.81045,0
1732963415.730932,31.045734,12.925715,0
1732963415.738745,24.354689,-0.919518,0
1732963415.746558,18.694948,1.130633,0
1732963415.754371,12.016253,-5.01819,0
1732963415.762184,-0.803455,-24.993172,0
